    N,Site,    AX1    ,  AX2    ,  AX3    ,  AX4   ,   WEIGHT,    N2
92,2002.307,1.61,0.9789,0.6762,0.6959,54.83,54.5
93,2002.308,0.1543,0.5238,0.7647,0.6344,49.29,34.39
94,2002.309,1.2553,0.4549,1.0126,1.0904,59.18,48.61
95,2002.317,1.0186,1.3912,0.9646,0.8196,51.52,40.69
96,2002.319,0.8512,0.8904,0.0552,0.2678,56.44,46.32
97,2002.331,2.2258,0.7485,0.6416,0.5154,50.03,55.3
98,2002.343,1.4394,0.8752,0.8263,0.6299,61.32,52.21
99,2002.346,0.7409,0.1803,0.7171,1.1426,49.5,46.76
100,2002.35,1.217,0.7854,1.0496,0.6113,54.93,56.33
101,2003.205,0.6309,0.8305,0.9115,0.1781,60.98,57.71
102,2003.206,1.1849,0.3654,0.6863,0.1836,65.22,66.88
103,2003.208,0.542,1.0474,0.6086,0.5176,55.09,43.5
104,2003.22,0.9548,0.8389,1.0258,0.3108,56.31,55.87
105,2003.222,1.142,0.4879,0.6964,0.1725,76.5,84.45
106,2003.226,1.0011,0.4021,1.4092,0.4997,58.94,56.61
107,2003.238,1.6135,0.5339,0.6204,0.3713,66.43,66.31
108,2003.244,1.4728,0.4823,0.6865,0.4259,66.2,68.16
109,2003.254,1.0165,1.688,0.8953,0.5553,45.88,41.38
110,2003.259,0.7937,0.3827,0.1064,0.7826,49.62,44.51
111,2003.303,1.2186,0.195,0.9992,0.4556,62.59,73.72
112,2003.307,1.5822,0.8841,0.7799,0.5191,64.49,62.56
113,2003.308,0.0271,0.6541,0.7754,0.6377,50.52,37.07
114,2003.309,1.2445,0.3934,1.0207,1.0572,57.35,61.71
115,2003.317,1.2059,1.3476,0.8588,0.5088,70.67,60.39
116,2003.319,0.8536,0.7636,0.087,0.2719,60.61,63.22
117,2003.331,2.1928,0.7138,0.656,0.4644,52.46,55.74
118,2003.343,1.4532,0.9069,0.758,0.5766,57.51,59.33
119,2003.346,0.7439,0.2965,0.7731,1.1143,53.98,54.12
120,2003.35,1.2808,0.7633,1.0309,0.4919,61.5,65.69
121,2004.205,0.4983,0.7735,1.0356,0.2124,59.71,48.19
122,2004.206,1.1378,0.447,0.7024,0.211,72.9,63.84
123,2004.208,0.5575,1.0604,0.7141,0.4006,62.71,41.9
124,2004.22,0.9876,0.8729,1.0718,0.3421,63.15,61.56
125,2004.222,1.0817,0.5012,0.7,0.0832,77.36,76.8
126,2004.226,0.9222,0.4023,1.4165,0.2386,85.63,48.32
127,2004.238,1.5417,0.5557,0.6609,0.4408,67.95,61.4
128,2004.244,1.4244,0.5262,0.6211,0.2526,73,56.32
129,2004.254,0.8071,1.8184,1.0892,0.7752,41.93,30.66
130,2004.259,0.8041,0.3784,0.2236,0.6688,52.2,36.22
