"plot","burn_date"
250,1997-03-26
250,1998-03-24
250,1999-04-06
250,2000-04-06
250,2005-08-09
250,2008-04-07
251,1994-04-18
251,1997-03-21
251,1998-03-23
251,1999-04-06
251,2000-03-31
251,2001-03-23
251,2003-08-06
251,2007-03-07
251,2008-04-05
252,1993-03-27
252,1994-03-19
252,1999-04-06
252,2000-03-31
252,2002-03-28
252,2004-12-14
253,1994-04-18
253,1997-03-26
253,1998-03-23
253,1999-04-06
253,2000-03-31
253,2003-03-22
253,2006-03-24
253,2008-08-28
255,1994-04-18
255,1997-03-21
255,1998-03-23
255,1999-04-06
255,2000-03-31
255,2001-03-23
255,2003-08-06
255,2007-03-07
255,2008-04-05
256,1993-04-09
256,1995-04-19
256,1996-04-26
256,1997-03-31
256,1998-04-10
256,2000-03-27
256,2003-03-14
256,2005-03-28
256,2007-12-03
256,2009-04-11
257,1992-09-28
257,1998-09-02
257,2001-09-26
257,2004-09-30
257,2007-09-17
258,1993-04-09
258,1994-03-18
258,1995-03-30
258,1998-04-01
258,2000-03-27
258,2001-03-13
258,2005-03-28
258,2007-12-03
301,1993-03-11
301,1994-03-05
301,1995-03-17
301,1996-04-06
301,1997-03-20
301,1998-03-22
301,2000-03-30
301,2003-03-15
301,2004-03-19
301,2005-04-02
301,2006-04-12
301,2008-03-10
302,1993-03-11
302,1994-03-05
302,1995-03-17
302,1996-04-06
302,1997-03-20
302,1998-03-22
302,2000-03-30
302,2003-03-15
302,2004-03-19
302,2005-04-02
302,2006-04-12
302,2009-03-09
304,1993-03-11
304,1994-03-05
304,1995-03-17
304,1996-04-06
304,1998-03-22
304,2001-03-20
304,2006-04-12
304,2008-03-10
305,1995-03-09
305,1996-04-06
305,1998-03-22
305,2001-03-17
305,2003-07-31
305,2007-12-03
306,1995-03-09
306,1996-04-06
306,1998-03-22
306,2001-03-17
306,2004-09-01
310,1993-04-16
310,1994-03-03
310,1996-04-01
310,1997-03-12
310,1998-03-21
310,1999-03-24
310,2000-03-20
310,2001-03-21
310,2002-03-12
310,2003-03-13
310,2004-03-12
310,2005-03-14
310,2006-03-25
310,2008-03-26
310,2009-03-25
311,1993-04-16
311,1994-03-03
311,1996-04-01
311,1997-03-12
311,1998-03-21
311,1999-03-24
311,2000-03-20
311,2001-03-21
311,2002-03-12
311,2003-03-13
311,2004-03-12
311,2005-03-14
311,2006-03-25
311,2008-03-26
311,2009-03-25
312,1993-04-16
312,1994-03-03
312,1996-04-01
312,1997-03-12
312,1998-03-21
312,1999-03-24
312,2000-03-20
312,2001-03-21
312,2002-03-12
312,2003-03-13
312,2004-03-12
312,2005-03-14
312,2006-03-25
312,2008-03-26
312,2009-03-25
313,1997-03-12
313,1998-03-21
313,1999-03-24
313,2000-03-20
313,2001-03-21
313,2003-03-13
313,2004-03-12
313,2005-03-14
313,2008-03-26
313,2009-03-25
314,1996-04-01
314,1997-03-12
314,1998-03-21
314,1999-03-24
314,2000-03-20
314,2001-03-21
314,2002-03-12
314,2003-03-13
314,2004-03-12
314,2005-03-14
314,2006-03-25
314,2008-03-26
314,2009-03-25
315,1993-03-11
315,1994-03-05
315,1995-03-17
315,1996-04-06
315,1998-03-22
315,2001-03-20
315,2006-04-12
315,2008-03-10
316,1993-03-11
316,1995-03-17
316,1996-04-06
316,1998-03-22
316,2001-03-20
316,2004-03-09
316,2008-03-14
318,1993-03-11
318,1994-03-05
318,1995-03-17
318,1996-04-24
318,1998-03-22
318,2001-08-29
318,2004-09-01
318,2008-08-05
320,1993-03-09
320,1994-03-04
320,1995-03-16
320,1996-04-10
320,1998-03-22
