"STID","STNM","MONTH","YEAR","RELH","TAIR","WSPD","WVEC","WDIR","WDSD","WSSD","WMAX","RAIN","PRES","SRAD","TA9M","WS2M","TS10","TB10","TS05","TB05","TS30","TR05","TR25","TR60","TR75"
"FORA",38,"05","1997",66.8401570386988,18.0736287156478,4.57129556926528,4.49744251261918,149.796634885025,9.37589455973079,0.697790241166573,6.21693774537297,98.29,976.438794167134,279.442063937185,17.9855075715087,3.38520471116096,19.1433187478963,20.4715247391451,19.9860236220472,20.676607202962,17.9692359474924,2.38727272727273,1.68226262626263,1.49531986531987,1.5369494949495
"FORA",38,"06","1997",80.7739583333333,22.6536111111111,3.52790509259259,3.47043981481482,147.524768518519,9.56395833333333,0.559398148148148,4.82498842592593,182.62,973.64153587963,268.950694444444,22.6364814814815,2.35359416599143,22.6960416666667,25.1547916666667,21.6667708333333,25.5384375,21.7590277777778,1.82082638888889,1.70021527777778,1.52245833333333,1.554375
"FORA",38,"07","1997",81.0372983870968,25.4740367383513,3.48875448028674,3.43409498207885,147.886760752688,9.38446460573477,0.546236559139785,4.76544578853047,140.98,977.452242383512,276.21729390681,25.4778897849462,2.16095430107527,25.1879704301075,28.4324596774194,24.065625,28.9018817204301,24.3935147849462,1.78684811827957,1.56323252688172,1.49014112903226,1.50543010752688
"FORA",38,"08","1997",82.6673387096774,24.0244735663082,3.02463037634409,2.97575044802867,158.560371863799,9.16678987455197,0.488911290322581,4.15558915770609,117.34,977.820043682796,239.742047491039,24.0439292114695,1.52218862007168,23.9912298387097,26.2020833333333,22.7270161290323,26.3869959677419,23.6999663978495,2.15667338709677,1.90625,1.56728494623656,1.58047715053763
"FORA",38,"09","1997",76.6978475858057,21.8043630017452,3.49311227457824,3.43525305410122,139.909831297266,9.4178475858057,0.604397905759162,4.91227457824316,75.18,977.014147760326,200.02105875509,21.9213263525305,1.49773265229849,21.7658170391061,23.2129888268156,20.366969273743,23.1136522346369,21.9461941340782,2.66670859538784,2.28143256464011,1.82280223619846,1.68286512928022
"FORA",38,"10","1997",75.3350111856823,14.9457829977629,3.85029082774049,3.78963087248322,162.317897091723,9.05031319910515,0.646868008948546,5.37197986577181,79.49,977.114456375839,138.548545861298,15.2007494407159,1.69136465324385,16.3357382550336,16.876644295302,14.7456040268456,16.3906375838926,17.2839261744966,1.7681677852349,1.73714093959732,1.7778255033557,1.65065100671141
"FORA",38,"11","1997",74.7240740740741,6.1083912037037,3.77538194444444,3.7121412037037,185.260069444444,8.88415509259259,0.627337962962963,5.22994212962963,20.32,978.094478009259,95.755787037037,6.36498842592593,1.67207175925926,8.93520833333333,8.29631944444444,7.27256944444444,7.55809027777778,10.3184722222222,1.69420138888889,1.65854166666667,1.64247222222222,1.62313194444444
"FORA",38,"12","1997",79.629482973187,1.88997535842294,3.80125448028674,3.74335797491039,207.979502688172,8.63127240143369,0.613676075268817,5.23848566308244,91.71,977.333613351254,75.3233646953405,2.20159050179211,1.60948700716846,5.27815860215054,4.00110887096774,3.56686827956989,3.12113575268817,6.83595430107527,1.58733648010789,1.61166666666667,1.60097446236559,1.56141129032258
"FORA",38,"01","1998",82.1991487455197,2.60599238351254,3.8864023297491,3.82402553763441,139.903449820789,8.95316980286738,0.659554211469534,5.39867831541219,47.75,976.830714605735,75.2738575268817,2.72581765232975,1.80106406810036,4.81502016129032,4.43366935483871,3.29915994623656,3.85766129032258,5.80843413978495,1.52166067577283,1.55475806451613,1.53978494623656,1.53220430107527
"FORA",38,"02","1998",72.6054067460317,5.44804067460317,3.56087549603175,3.50452628968254,166.633060515873,8.39486607142857,0.605964781746032,4.96524057539682,0,973.719968998016,114.569816468254,5.74748263888889,1.75873015873016,6.26376488095238,6.67838541666667,4.8641369047619,6.27046130952381,6.82857142857143,1.53066964285714,1.54616071428571,1.5122619047619,1.51589285714286
"FORA",38,"03","1998",74.1389629973321,5.97897924845766,5.75488502523836,5.66901850813236,175.605945036455,9.30034772854739,0.914929893438026,7.91850813236119,17.53,975.441333707235,145.928996074033,5.9138530566461,3.31440269209198,7.04858585858586,7.80144781144781,5.71851851851852,7.50016835016835,7.42952861952862,1.58932867132867,1.54420094403237,1.49967633175995,1.50676331759946
"FORA",38,"04","1998",61.5188919796013,13.5345271210014,5.21937876680575,5.1320120537784,202.287668057487,9.47216040797404,0.776286509040334,7.02498840982847,101.34,973.633886184516,214.598052851182,13.4334260547056,3.08802735280482,12.431050069541,14.1621001390821,11.1789986091794,14.100173852573,12.4019819193324,1.49993741307371,1.50493045897079,1.46624478442281,1.46054937413074
"FORA",38,"05","1998",72.1763913824057,21.7514250448833,4.01297127468582,3.94860861759425,171.135210951526,9.53077872531418,0.613902603231598,5.44343581687612,162.56,971.942958931777,274.211400359066,21.6789272890485,2.37072486535009,19.076734006734,21.7862962962963,18.152962962963,22.0839393939394,18.020202020202,1.48960916442049,1.46982479784367,1.44619272237197,1.43153638814016
"FORA",38,"06","1998",70.3590277777778,24.7506944444444,5.22756744239898,5.15813657407407,163.865277777778,9.24645833333333,0.783524371888387,7.07899733703832,49.02,971.468677083333,286.433101851852,24.7795138888889,3.32444444444444,22.4164236111111,27.1229513888889,21.3380208333333,27.4496527777778,21.6556597222222,2.19093055555556,1.61324305555556,1.44197916666667,1.43172916666667
"FORA",38,"07","1998",76.3679192372406,26.9911385305665,3.1668536174986,3.11165451486259,129.272462142457,10.0193830622546,0.54443073471677,4.43918115535614,176.03,976.2446965788,282.794840157039,26.9299607403253,1.82408300616938,25.2753618310333,30.0709861999327,24.1386738471895,30.3535509929317,24.6010097610232,2.00870707070707,1.9766734006734,1.52049158249158,1.50606734006734
"FORA",38,"08","1998",66.3612418740193,26.7682694463125,2.86907644026003,2.80552566689083,158.271015467384,10.4752521856086,0.50191661062542,4.0368415153553,26.16,977.321238511544,265.066913248151,26.9157700067249,1.50152432190092,24.4923335574983,29.4946872898453,23.2348688634835,29.7904841963685,24.1922999327505,2.91690235690236,3.28123905723906,2.41174410774411,1.73824242424242
"FORA",38,"09","1998",67.6978925428439,25.1237378415933,3.43273506252895,3.36732283464567,133.120426123205,10.1795622973599,0.592693376563224,4.82931912922649,137.67,974.251955766559,205.312876331635,25.1215261695229,1.98415933302455,23.2945119833275,26.1640152830844,21.9955192775269,26.1582493921501,23.1931573463008,2.33818624044475,2.47403752605976,3.09701876302988,2.75457261987491
"FORA",38,"10","1998",75.6351762188943,15.8181511091093,3.89763540141876,3.83624591825245,155.319671208197,9.18349284990429,0.603670757797545,5.31818488908907,209.02,979.70221596667,141.550838869497,15.9897646661412,2.31281387231168,16.5532339993227,16.7103623433796,14.9454453098544,16.1490348797833,17.5104639349814,1.56004051316678,1.55606347062795,1.59748818365969,1.6554490209318
"FORA",38,"11","1998",75.2463145676146,10.760615206036,4.42468949506674,4.36715031921068,172.75252466628,8.3254439930354,0.641775972141614,5.93002901915264,103.11,977.993279164248,94.1571677307023,10.9469994196169,2.74374927452118,11.4332404181185,10.7805226480836,9.8505574912892,10.1273170731707,12.5028222996516,1.5026290097629,1.52348675034868,1.50488145048815,1.54042538354254
