"plot","plot_yr","yr","repeat_plot","grid_plot","date_samp","jul_day","easting","northing","coord_comments","grassht","forbht","woodyht","woodypct","basal_area","density","dens_c1","dens_c2","dens_c3","dens_c4","avgdens","stddens","waterpct","rockpct","barepct","slope","aspect","TEC","PH","ORG","S","BCA","BMG","BK","BNA","BH","rain6","rain7","rain8","rain9","rain10","rain11","rain12","rain1","rain2","rain3","rain4","rain5","temp6","temp7","temp8","temp9","temp10","temp11","temp12","temp1","temp2","temp3","temp4","temp5","OrBis","bison","YrsOB","BP5Yrs","YrsSLB","burn","date_of_burn","jul_day_burn","logP","logCA","logMG","logK","logNA.","logB","logFE","logMN","logCU","logZN","logAL","eastness","northness"
303,303.1998,1998,1,1,1998-06-04,155,731000,4082000,"",0.6,0.5,0.3,1,0,0,NA,NA,NA,NA,0,NA,0,0,25,4,44,18.49,5.8,4.33,"28",54.68,12.62,3.19,0.71,28.83,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,4,0.202739726,1,1998-03-22,81,0.903089986991944,3.30578115125498,2.44715803134222,2.36172783601759,1.47712125471966,0.250420002308894,2.13353890837022,1.64345267648619,0.311753861055754,0.655138434811382,2.8109042806687,0.0177019251054136,0.999843308647691
307,307.1998,1998,1,1,1998-06-04,155,731000,4079000,"",0.6,0.7,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,10,3,270,17.79,5.8,4.08,"28",49.94,17.38,1.74,0.95,29.96,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.202739726,1,1998-03-22,81,0.903089986991944,3.2496874278053,2.56937390961505,2.08278537031645,1.5910646070265,0.2405492482826,2.39445168082622,1.53147891704226,0.517195897949974,0.354108439147401,2.78318869107526,-0.176045946471211,0.984381950632505
308,308.1998,1998,1,1,1998-06-05,156,730000,4086000,"",0.6,0.9,0.5,1,0,0,NA,NA,NA,NA,0,NA,0,0,0,7,126,32.67,6.4,8.29,"33",71.82,13.37,1.87,0.35,12.59,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.208219178,1,1998-03-21,80,1.17609125905568,3.67145055421249,2.71933128698373,2.37657695705651,1.41497334797082,0.315970345456918,2.15533603746506,1.67209785793572,0.60422605308447,0.69196510276736,2.79588001734408,0.329990825673782,0.943984139152314
309,309.1998,1998,1,1,1998-06-05,156,731000,4086000,"",0.5,0.7,0.4,1,0,0,NA,NA,NA,NA,0,NA,0,5,15,8,120,18.75,5.8,6.44,"35",46.59,15.6,1.87,1,34.92,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,4,0.208219178,1,1998-03-21,80,0.954242509439325,3.24229290498293,2.54530711646582,2.13672056715641,1.63346845557959,0.252853030979893,2.42651126136458,1.38021124171161,0.271841606536499,0.606381365110605,2.8394780473742,0.580611184212314,0.814180970526562
317,317.1998,1998,1,1,1998-06-09,160,733000,4079000,"",1,0.8,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,2,5,125,22.41,6.6,5.19,"35",83.42,14.28,1.61,0.7,0,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.216438356,1,1998-03-22,81,0.903089986991944,3.57275546515422,2.58433122436753,2.14921911265538,1.55630250076729,0.320146286111054,2.34830486304816,1.73239375982297,0.396199347095736,0.424881636631067,2.76863810124761,-0.616040459188656,0.787714512144234
319,319.1998,1998,1,1,1998-06-09,160,734000,4079000,"",0.6,0.8,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,10,1,160,31.42,6.3,5.83,"30",73.39,10.69,2.35,0.47,13.09,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,4,0.216438356,1,1998-03-22,81,1.07918124604762,3.66388929862266,2.60530504614111,2.45939248775923,1.53147891704226,0.269512944217916,2.12710479836481,1.91907809237607,0.46686762035411,0.559906625036113,2.78887511577542,0.219425258379005,-0.975629312795237
331,331.1998,1998,1,1,1998-06-11,162,738000,4069000,"",0.6,0.5,0.5,1,0,0,NA,NA,NA,NA,0,NA,0,0.5,5,2,300,10.35,5.9,2.07,"18",47.54,9.26,2.18,1.3,39.73,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,1,3.18630137,0,NA,NA,1.11394335230684,2.99299509843134,2.06069784035361,1.94448267215017,1.49136169383427,0.0899051114393979,2.30102999566398,1.43136376415899,0.0334237554869497,0.69196510276736,2.68484536164441,-0.999755839901149,-0.0220966192786839
343,343.1998,1998,1,1,1998-06-12,163,734000,4083000,"",0.7,0.7,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,3,2,43,18.34,5.7,3.48,"31",52.15,16.27,1.85,0.69,29.06,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,4,0.22739726,1,1998-03-21,80,0.778151250383644,3.2817149700273,2.55388302664387,2.12057393120585,1.46239799789896,0.24551266781415,2.35793484700045,1.5910646070265,0.439332693830263,0.450249108319361,2.8234742291703,-0.831774742628598,0.555113301520626
346,346.1998,1998,1,1,1998-06-19,170,734000,4074000,"",0.7,0.7,0.4,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,5,5,310,24.23,6.1,5.44,"35",59.72,15.37,2.38,0.52,22,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,2,1.246575342,0,NA,NA,0.778151250383644,3.46149852678302,2.65030752313194,2.35218251811136,1.46239799789896,0.2405492482826,2.28555730900777,1.17609125905568,0.33645973384853,0.463892988985907,2.79726754083072,0.85088768865586,-0.525347638515573
350,350.1998,1998,1,1,1998-06-20,171,733000,4081000,"",0.8,0.7,0.5,0.5,0,0,NA,NA,NA,NA,0,NA,0,0,10,2,190,21.93,5.7,5.06,"31",56.98,15.96,1.59,1.19,24.3,183,141,117,76,80,20,92,48,NA,18,101,163,22.7,25.4,24,21.8,14.9,6.1,1.9,2.6,5.4,6,13.6,21.8,0,0,0,3,0.246575342,1,1998-03-22,81,1,3.39776625612645,2.6232492903979,2.13353890837022,1.77815125038364,0.267171728403014,2.38738982633873,1.61278385671974,0.472756449317212,0.662757831681574,2.76117581315573,0.9977992786806,0.0663068583517113
205,205.1999,1999,1,1,1999-06-01,152,727000,4080000,"",0.7,1.2,0.5,1,0,0,NA,NA,NA,NA,0,NA,0,0,15,3,298,25.86,7,6.78,"70",74.92,16.89,2.23,1.56,0,49,176,26,138,210,103,41,61,53,87,146,162,24.8,27,26.8,25.1,15.8,11,3.3,3.8,8.2,7.7,15.3,19,1,1,5.621917808,1,1.339726027,0,NA,NA,1.25527250510331,3.58827170684233,2.71933128698373,2.65321251377534,1.96848294855394,0.287801729930226,2.13672056715641,1.78532983501077,0.468347330412157,0.65417654187796,2.73078227566639,0.436137629146049,-0.899879974464853
